일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-03-11,65500,68800,63800,65100,1362546,1.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,68000,69500,63400,64400,1480674,2.711323763955343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,60400,63000,59600,62700,690434,-3.9816232771822357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,63500,66100,61100,65300,1180753,3.9808917197452227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,58400,65000,55200,62800,1910654,22.417153996101362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,59600,61400,50700,51300,1598164,-20.21772939346812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,63400,72800,62700,64300,3125625,4.5528455284552845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-27,56100,64900,55100,61500,3800852,18.4971098265896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-26,52800,52800,51300,51900,262986,-1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-25,54400,56100,52500,52500,339540,-2.0522388059701493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-24,52900,53700,52100,53600,260100,3.67504835589942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-23,51400,52500,50200,51700,190124,1.3725490196078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-20,52500,52800,50700,51000,175755,-3.5916824196597354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-19,51900,53000,51300,52900,154915,2.123552123552124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,52700,52700,51400,51800,134778,-2.814258911819888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-12,53900,54200,52100,53300,168806,0.18796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-11,55000,56200,53100,53200,299283,2.702702702702702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-10,52300,53100,51700,51800,157103,-0.9560229445506692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
