일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-19,393000,414500,391000,411500,804907,7.722513089005235,381107,-7707,-494133,120733,0,53443.0,4.480000019073486,1310315.0,2.450000047683716
2026-02-13,384000,386500,381500,382000,219545,-2.051282051282051,-2584,1422,14771,-13609,0,32256.0,11.350000381469727,1310315.0,2.450000047683716
2026-02-12,385000,390000,379000,390000,420418,1.2987012987012987,112079,-989,-45373,-65717,0,67052.0,13.199999809265137,1310315.0,2.450000047683716
2026-02-11,384500,392500,382000,385000,350596,1.8518518518518516,43190,-1130,-59962,17902,0,67714.0,14.420000076293945,1286371.0,2.4000000953674316
2026-02-10,383500,391500,378000,378000,284099,-2.072538860103627,6467,3570,19432,-29469,0,70477.0,18.530000686645508,1286337.0,2.4000000953674316
2026-02-09,373000,388000,372000,386000,412183,6.9252077562326875,111497,1149,-82261,-30385,0,66828.0,11.819999694824219,1236880.0,2.309999942779541
2026-02-06,363500,368500,352000,361000,545120,-4.116865869853918,36954,-4369,-21120,-11465,0,58219.0,7.639999866485596,1215169.0,2.2699999809265137
2026-02-05,394500,400000,375500,376500,589367,-4.6835443037974684,-74493,1987,96029,-23523,0,68098.0,8.239999771118164,1192340.0,2.2300000190734863
2026-02-04,398500,403500,391000,395000,460081,-1.9851116625310172,-16645,-1800,46452,-28007,0,60087.0,9.609999656677246,1152812.0,2.150000095367432
2026-02-03,407000,407500,395000,403000,529146,2.284263959390863,127512,-3813,-89015,-34684,0,55683.0,7.610000133514404,1116684.0,2.0899999141693115
2026-02-02,398000,406500,384000,394000,874995,-4.600484261501211,-95990,-19000,36389,78601,0,75805.0,6.170000076293945,1103898.0,2.059999942779541
2026-01-30,427000,428500,412500,413000,850110,-3.953488372093023,162455,-2949,-137508,-21998,0,89762.0,7.619999885559082,1123394.0,2.0999999046325684
2026-01-29,439000,444000,418000,430000,1182156,-1.1494252873563218,235535,-3958,-140741,-90836,0,112057.0,7.099999904632568,1124585.0,2.0999999046325684
2026-01-28,407000,443000,406000,435000,1742935,6.61764705882353,362272,-6542,-520566,164836,0,68870.0,2.740000009536743,1047889.0,1.9600000381469729
2026-01-27,400000,417500,400000,408000,985930,0.4926108374384236,241552,-12543,-201155,-27854,0,84296.0,6.190000057220459,1139090.0,2.130000114440918
