일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-22,2035,2200,1945,1945,5586339,-29.90990990990991,-26992,-39869,524813,-457952,0,147708.0,2.640000104904175,655708.0,1.1799999475479126
2025-12-19,2790,2825,2660,2775,261167,0.0,4,0,-1817,1813,0,20291.0,7.769999980926514,655708.0,1.1799999475479126
2025-12-18,2800,2970,2720,2775,202223,-1.5957446808510638,5,450,64838,-65293,0,31552.0,15.600000381469727,655708.0,1.1799999475479126
2025-12-17,2920,3120,2790,2820,737104,-3.5897435897435894,4,-5181,99632,-94455,0,80904.0,10.979999542236328,617238.0,1.1100000143051147
2025-12-16,2675,2985,2620,2925,881637,9.345794392523365,5,5556,-149800,144239,0,0.0,0.0,586671.0,1.0499999523162842
2025-12-15,2835,2835,2650,2675,486455,-5.975395430579964,5,300,186694,-186999,0,162345.0,33.369998931884766,692994.0,1.2400000095367432
2025-12-12,2940,2950,2775,2845,508116,-3.231292517006803,-3569,-5861,210064,-200634,0,46595.0,9.170000076293945,552201.0,0.9900000095367432
2025-12-11,2655,3050,2655,2940,1292987,10.943396226415096,-796,5936,-120397,115257,0,79642.0,6.159999847412109,448692.0,0.8100000023841858
2025-12-10,2720,2720,2580,2650,264496,-2.5735294117647056,5,313,65527,-65845,0,29646.0,11.210000038146973,531827.0,0.949999988079071
2025-12-09,2580,2945,2545,2720,889215,5.631067961165048,-541,-175,104541,-103825,0,88995.0,10.010000228881836,482442.0,0.8700000047683716
2025-12-08,2590,2670,2545,2575,282198,0.1945525291828793,4,-286,53852,-53570,0,16201.0,5.739999771118164,435286.0,0.7799999713897705
2025-12-05,2530,2580,2485,2570,325052,2.1868787276341948,6,-2518,-97032,99544,0,0.0,0.0,430887.0,0.7699999809265137
2025-12-04,2720,2720,2480,2515,627565,-6.156716417910448,5,3018,119363,-122386,0,118628.0,18.89999961853028,465831.0,0.8399999737739563
2025-12-03,2640,2685,2580,2680,176385,3.474903474903475,5,-1144,-10538,11677,0,5952.0,3.369999885559082,395035.0,0.7099999785423279
2025-12-02,2760,2760,2530,2590,700470,-4.428044280442804,305,-30278,7292,22681,0,11364.0,1.6200000047683716,389672.0,0.699999988079071
2025-12-01,2840,2885,2700,2710,287071,-4.577464788732395,5,500,88068,-88573,0,16222.0,5.650000095367432,339160.0,0.6100000143051147
2025-11-28,2850,2925,2770,2840,244629,1.7921146953405016,317,-3690,-96187,99560,0,4533.0,1.850000023841858,298682.0,0.5400000214576721
2025-11-27,2900,2925,2790,2790,219243,-3.2928942807625647,4,-8227,-5378,13601,0,9430.0,4.300000190734863,298822.0,0.5400000214576721
2025-11-26,2815,2885,2770,2885,193255,4.33996383363472,5,-15055,-61244,76294,0,4179.0,2.1600000858306885,298822.0,0.5400000214576721
2025-11-25,2860,2880,2725,2765,249467,-1.950354609929078,4,-3949,-42953,46898,0,18097.0,7.25,385944.0,0.6899999976158142
2025-11-24,2915,2945,2740,2820,347291,-3.2590051457975986,504,693,21557,-22754,0,9549.0,2.75,404103.0,0.7300000190734863
2025-11-21,2955,2980,2905,2915,140619,-2.995008319467554,4,-300,-3792,4088,0,10869.0,7.730000019073486,347939.0,0.6200000047683716
2025-11-20,2980,3015,2940,3005,113769,2.037351443123939,5,0,-36099,36094,0,7968.0,7.0,376653.0,0.6800000071525574
2025-11-19,3020,3020,2870,2945,213206,-0.8417508417508417,0,700,73325,-74025,0,30201.0,14.170000076293944,410783.0,0.7400000095367432
2025-11-18,3070,3205,2965,2970,431455,-1.0,4,-10026,169968,-159946,0,45859.0,10.630000114440918,334526.0,0.6000000238418579
2025-11-17,3040,3060,2985,3000,129843,-1.1532125205930808,3,250,52925,-53178,0,11172.0,8.600000381469727,290756.0,0.5199999809265137
2025-11-14,3080,3150,2990,3035,151622,-1.461038961038961,-44,-4782,2934,1892,0,5208.0,3.430000066757202,290756.0,0.5199999809265137
2025-11-13,3125,3170,3070,3080,155434,-1.44,4,3414,17460,-20878,0,17244.0,11.09000015258789,290150.0,0.5199999809265137
2025-11-12,3000,3125,3000,3125,219150,4.166666666666666,4,-7042,-70307,77345,0,7954.0,3.630000114440918,288572.0,0.5199999809265137
2025-11-11,3025,3060,2985,3000,153948,-0.8264462809917356,5,-11098,41367,-30274,0,2113.0,1.3700000047683716,328691.0,0.5899999737739563
2025-11-10,3050,3050,2970,3025,145344,0.1655629139072847,4,-10000,9308,688,0,3065.0,2.109999895095825,288572.0,0.5199999809265137
2025-11-07,3070,3115,2990,3020,257487,-3.205128205128205,4,-9804,108464,-98664,0,17300.0,6.71999979019165,325891.0,0.5799999833106995
