일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-03-24,61600,61800,58000,59300,226843,0.5084745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,62100,62700,58900,59000,253998,-8.527131782945736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,63100,65600,62600,64500,931208,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,63800,65200,62000,62500,308917,-5.589123867069486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,65500,66300,62600,66200,234494,3.924646781789639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-17,68000,68900,63500,63700,241197,-3.0441400304414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,69800,69900,63900,65700,301426,-5.057803468208093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,62000,69800,61600,69200,440078,8.634222919937205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,61300,64600,61300,63700,166699,2.9079159935379644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,62000,65600,60600,61900,284572,1.6420361247947457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,65800,65800,60000,60900,296931,-0.8143322475570033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,61600,63500,59700,61400,201564,-7.669172932330827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,62900,67700,62200,66500,377437,5.2215189873417724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,60800,65000,60800,63200,287692,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,63400,65000,55300,55300,509850,-19.03367496339678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,69600,73900,68300,68300,398720,-5.401662049861495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-27,68200,72200,67500,72200,864476,3.884892086330935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-26,68000,70900,65700,69500,310781,2.5073746312684366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-25,70300,71100,67400,67800,303273,-3.556187766714083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-24,72700,74000,69600,70300,350086,-3.6986301369863015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-23,66500,73600,65500,73000,608897,10.43872919818457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-20,69100,70700,65500,66100,376277,-5.84045584045584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-19,66400,73400,66400,70200,727739,7.339449541284404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,66200,67500,64000,65400,685002,-5.079825834542816,34867.0,3274.0,36778.0,-74919.0,0.0,51637.0,5.010000228881836,188914.0,0.8100000023841858
2026-02-12,71700,73500,66500,68900,1661391,-0.4335260115606936,60993.0,-13708.0,68934.0,-116219.0,0.0,69485.0,2.539999961853028,172372.0,0.7400000095367432
2026-02-11,69200,69200,69200,69200,210803,29.831144465290805,-1786.0,-425.0,7215.0,-5004.0,0.0,4298.0,1.659999966621399,134483.0,0.5799999833106995
2026-02-10,59500,60900,51900,53300,743174,-10.420168067226893,-64002.0,-576.0,12622.0,51956.0,0.0,18545.0,1.5299999713897705,134012.0,0.5699999928474426
2026-02-09,60500,61700,58300,59500,241775,0.676818950930626,12631.0,-12666.0,5527.0,-5492.0,0.0,15330.0,4.199999809265137,136225.0,0.5799999833106995
2026-02-06,61000,62800,56600,59100,511693,-8.513931888544892,-36590.0,-1601.0,60139.0,-21948.0,0.0,24164.0,3.1600000858306885,135086.0,0.5799999833106995
2026-02-05,66400,66700,63000,64600,397102,4.700162074554295,68483.0,-2065.0,-59278.0,-7140.0,0.0,12904.0,2.2300000190734863,150436.0,0.6399999856948853
2026-02-04,64200,64800,60800,61700,292263,-1.5948963317384368,6758.0,-1856.0,4428.0,-9330.0,0.0,18105.0,4.03000020980835,151799.0,0.6499999761581421
2026-02-03,61600,65000,59500,62700,648781,2.78688524590164,120413.0,-1570.0,-95989.0,-22854.0,0.0,32897.0,3.470000028610229,146899.0,0.6299999952316284
