일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-12,74200,75900,70000,71600,164986,-2.3192360163710775,33929,-9681,14925,-39173,0,21596.0,8.479999542236328,992003.0,1.850000023841858
2025-12-11,73900,74800,72300,73300,129113,0.1366120218579235,-23226,-611,-9237,33074,0,8286.0,4.460000038146973,992003.0,1.850000023841858
2025-12-10,73500,73800,71000,73200,95160,0.13679890560875513,13243,-1879,1496,-12860,0,14760.0,9.420000076293945,992003.0,1.850000023841858
2025-12-09,73500,74500,72200,73100,92569,-0.1366120218579235,-3817,1087,18471,-15741,0,13570.0,9.680000305175781,982250.0,1.8300000429153442
2025-12-08,74100,74700,72000,73200,92831,0.411522633744856,-1751,2210,18332,-18791,0,17016.0,10.869999885559082,978459.0,1.8200000524520874
2025-12-05,75000,75600,72100,72900,127983,-1.0854816824966078,8643,313,12463,-21419,0,15616.0,7.639999866485596,967335.0,1.7999999523162842
2025-12-04,75200,78000,72600,73700,163462,-3.2808398950131235,12887,-829,22698,-34756,0,16660.0,6.070000171661377,957953.0,1.7799999713897705
2025-12-03,77200,78200,74900,76200,175234,-1.0389610389610389,5389,-3010,-10808,8429,0,19090.0,6.510000228881836,942972.0,1.7599999904632568
2025-12-02,74700,78500,70200,77000,456467,-5.982905982905983,-7894,2130,18969,-13205,0,40201.0,5.449999809265137,947166.0,1.7599999904632568
2025-12-01,87300,92000,78600,81900,716826,-6.185567010309279,36040,-10994,16194,-41240,0,32986.0,2.809999942779541,914598.0,1.7000000476837158
2025-11-28,71500,89300,70300,87300,654297,23.1311706629055,66006,585,-116413,49822,0,26574.0,2.2699999809265137,889185.0,1.659999966621399
2025-11-27,73800,74500,70600,70900,165213,-3.9295392953929538,-3539,-998,11814,-7277,0,17766.0,6.510000228881836,960323.0,1.7899999618530271
2025-11-26,81400,81400,71300,73800,482158,-11.298076923076923,-15069,6622,153464,-145017,0,44497.0,5.550000190734863,955191.0,1.7799999713897705
2025-11-25,78400,84500,78200,83200,401071,5.316455696202532,617,-4605,-101161,105149,0,21704.0,3.819999933242798,855691.0,1.590000033378601
2025-11-24,77700,80600,76600,79000,292849,1.0230179028132993,44955,442,-13502,-31895,0,27260.0,6.269999980926514,878683.0,1.6399999856948853
2025-11-21,67300,78700,65200,78200,718337,14.66275659824047,15669,7046,-80047,57332,0,23178.0,2.039999961853028,829472.0,1.5399999618530271
