일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-13,85400,85400,82300,83500,302380,-3.1322505800464038,8379,308,30757,-39444,0,15215.0,3.4200000762939453,734411.0,1.690000057220459
2026-02-12,80800,87600,79000,86200,732914,6.9478908188585615,124035,-982,-140574,17521,0,25730.0,2.2300000190734863,734411.0,1.690000057220459
2026-02-11,81500,84900,80300,80600,539247,1.7676767676767675,83874,6500,-62386,-27988,0,36933.0,4.389999866485596,734411.0,1.690000057220459
2026-02-10,80700,83200,79200,79200,331604,-3.414634146341464,-21285,-2217,38346,-14844,0,24979.0,4.96999979019165,705443.0,1.6200000047683716
2026-02-09,82200,84400,79000,82000,601307,5.806451612903226,-61506,1218,42025,18263,0,33810.0,3.859999895095825,689499.0,1.5800000429153442
2026-02-06,79700,82900,75500,77500,1042111,-9.673659673659674,-258942,-4288,178514,84716,0,43401.0,2.75,695682.0,1.600000023841858
2026-02-05,91600,91700,85100,85800,715719,-0.23255813953488372,-118206,194,192828,-74816,0,74943.0,6.929999828338623,667120.0,1.5299999713897705
2026-02-04,89700,92700,84600,86000,1033637,-4.761904761904762,-70529,-4235,171565,-96801,0,81281.0,5.320000171661377,631132.0,1.4500000476837158
2026-02-03,92500,92900,89000,90300,480125,1.4606741573033708,76290,356,-14547,-62099,0,21304.0,3.009999990463257,566834.0,1.2999999523162842
2026-02-02,92800,95000,88700,89000,668007,-5.82010582010582,-156139,-4786,23679,137246,0,30797.0,3.1500000953674316,577458.0,1.3300000429153442
2026-01-30,98300,100500,94500,94500,1090595,-5.5,217764,-5443,-208310,-4011,0,38408.0,2.4000000953674316,564367.0,1.2999999523162842
2026-01-29,100500,105400,96900,100000,1374104,0.7049345417925479,287039,-223,-299216,12400,0,40145.0,2.0199999809265137,533240.0,1.2200000286102295
2026-01-28,96500,100400,96200,99300,1175371,2.3711340206185567,339978,-7021,-459462,126505,0,30448.0,1.840000033378601,569579.0,1.309999942779541
2026-01-27,95500,99900,93500,97000,1217266,0.3102378490175801,262754,5864,-284776,16158,0,30968.0,1.7100000381469727,640217.0,1.4700000286102295
2026-01-26,88900,97400,88300,96700,2012118,12.703962703962704,546687,-35521,-730415,219249,0,44562.0,1.4299999475479126,664120.0,1.5299999713897705
2026-01-23,78600,86500,78600,85800,1106494,8.19672131147541,200613,4154,-259496,54729,0,18129.0,1.0299999713897705,762751.0,1.75
2026-01-22,81200,81400,77100,79300,951582,-0.9987515605493134,-146429,9378,119500,17551,0,42062.0,2.930000066757202,778595.0,1.7899999618530273
2026-01-21,86800,89000,77500,80100,2013948,-10.702341137123746,-282063,-64128,210468,135723,0,76225.0,2.380000114440918,783291.0,1.7999999523162842
2026-01-20,92900,94100,89500,89700,829589,-1.9672131147540985,17462,3956,25243,-46661,0,39840.0,3.130000114440918,788214.0,1.809999942779541
2026-01-19,92500,95500,90900,91500,742873,-1.0810810810810811,11306,340,-2163,-9483,0,27326.0,2.3299999237060547,774594.0,1.7799999713897705
2026-01-16,88200,95100,86000,92500,2047571,0.10822510822510822,-104222,7089,217882,-120749,0,42416.0,1.3200000524520874,753928.0,1.7300000190734863
2026-01-15,93500,93500,88200,92400,937170,0.7633587786259541,-77548,-1640,187573,-108385,0,46744.0,3.2699999809265137,725601.0,1.6699999570846558
2026-01-14,97900,98400,90000,91700,1111884,-4.2797494780793315,-207602,460,172866,34276,0,35903.0,2.130000114440918,631953.0,1.4500000476837158
