일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-08,28100,28200,25100,25800,459290,-8.51063829787234,-214547,-3504,172521,45530,0,161.0,0.029999999329447746,223743.0,1.649999976158142
2025-12-05,28400,28500,26300,28200,388408,0.17761989342806395,4940,-5085,-11625,11770,0,1103.0,0.2800000011920929,223743.0,1.649999976158142
2025-12-04,29200,29200,27700,28150,322437,-3.7606837606837606,-36214,31486,8066,-3338,0,62.0,0.019999999552965164,223743.0,1.649999976158142
2025-12-03,30500,31000,29100,29250,314489,0.8620689655172413,-7573,2235,20154,-14816,0,374.0,0.11999999731779099,226921.0,1.6799999475479126
2025-12-02,28100,29600,27300,29000,276257,-0.17211703958691912,11235,7557,-11186,-7606,0,131.0,0.05000000074505806,247936.0,1.8300000429153442
2025-12-01,30250,31400,28900,29050,256256,-6.290322580645161,-29759,-2495,60339,-28085,0,191.0,0.07000000029802322,256638.0,1.899999976158142
2025-11-28,28600,31550,27500,31000,501335,7.26643598615917,54345,35940,-61671,-28614,0,30.0,0.009999999776482582,250215.0,1.850000023841858
2025-11-27,27900,30650,27600,28900,360566,0.17331022530329288,-22887,24770,15834,-17717,0,23.0,0.009999999776482582,247955.0,1.8300000429153442
2025-11-26,30750,30750,26000,28850,1304033,-7.234726688102894,11114,815,48174,-60103,0,1216.0,0.09000000357627869,242377.0,1.7899999618530273
2025-11-25,34250,35950,28150,31100,1445289,-11.269614835948644,-55128,-572025,183253,443900,0,22644.0,1.5700000524520874,296940.0,2.200000047683716
2025-11-24,35050,35550,32400,35050,435511,0.8633093525179856,30287,39536,1029,-70852,0,31725.0,7.28000020980835,295677.0,2.190000057220459
2025-11-21,33950,38000,33500,34750,665393,-0.5722460658082975,29443,-431,-62992,33980,0,2938.0,0.4399999976158142,271281.0,2.009999990463257
2025-11-20,34450,35500,32000,34950,337670,1.5988372093023258,54263,554,-7536,-47281,0,11777.0,3.490000009536743,275048.0,2.0299999713897705
