일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-22,244500,244500,236500,238000,173985,-2.459016393442623,1427,69,12085,-13581,0,16711.0,6.690000057220459,1040607.0,4.460000038146973
2025-12-19,239000,251000,232000,244000,303506,1.8789144050104383,40928,466,-11368,-30026,0,20985.0,4.670000076293945,1040607.0,4.460000038146973
2025-12-18,234000,245250,231000,239500,274740,-1.642710472279261,13268,-3707,-20094,10533,0,14935.0,3.7899999618530273,1040607.0,4.460000038146973
2025-12-17,264000,264000,241500,243500,401150,-8.11320754716981,-3113,-12593,30475,-14769,0,20438.0,3.380000114440918,1061705.0,4.550000190734863
2025-12-16,279000,279500,264000,265000,222334,-1.6697588126159555,24977,-1069,35798,-59706,0,26700.0,8.020000457763672,1031443.0,4.420000076293945
2025-12-15,266500,270000,262250,269500,127241,0.37243947858473,-6450,-65,23014,-16499,0,26710.0,14.630000114440918,977738.0,4.190000057220459
2025-12-12,271000,274000,265500,268500,132699,-1.4678899082568808,8414,1415,36909,-46738,0,33871.0,15.170000076293945,960864.0,4.119999885559082
2025-12-11,283000,283000,271500,272500,210702,-2.8520499108734403,-31304,1684,30301,-681,0,26013.0,8.050000190734863,914663.0,3.920000076293945
2025-12-10,265500,286000,265000,280500,260862,5.056179775280898,22282,6418,-55158,26458,0,29454.0,6.070000171661377,926834.0,3.9700000286102295
2025-12-09,269000,275000,265000,267000,158781,0.0,-18963,1123,39590,-21750,0,23679.0,8.720000267028809,921330.0,3.950000047683716
2025-12-08,277000,279500,265500,267000,252513,-6.315789473684211,-25472,2082,87942,-64552,0,50290.0,11.050000190734863,898727.0,3.849999904632568
2025-12-05,277500,288000,264000,285000,430804,1.6042780748663104,8635,-3931,9179,-13883,0,24134.0,3.0,836857.0,3.5899999141693115
2025-12-04,285500,291000,276000,280500,287776,-1.9230769230769231,9583,618,55306,-65507,0,41887.0,8.260000228881836,825122.0,3.539999961853028
2025-12-03,292000,294500,277000,286000,319744,-1.8867924528301887,21164,-1530,19840,-39474,0,23352.0,3.890000104904175,767511.0,3.289999961853028
2025-12-02,285000,298500,273500,291500,840347,-8.188976377952756,51969,1427,42120,-95516,0,47804.0,3.009999990463257,734032.0,3.150000095367432
2025-12-01,315500,332000,305000,317500,494556,-6.61764705882353,42302,2645,37807,-82754,0,43633.0,5.079999923706055,684738.0,2.940000057220459
2025-11-28,343500,369500,331000,340000,794551,10.38961038961039,58312,-8992,-131122,81802,0,27202.0,1.909999966621399,668206.0,2.869999885559082
2025-11-27,318000,324000,306500,308000,179807,-3.4482758620689653,-21060,847,18495,1718,0,20014.0,6.480000019073486,737528.0,3.1600000858306885
2025-11-26,324500,327500,310500,319000,174614,0.1569858712715855,20220,857,-9923,-11154,0,26971.0,9.020000457763672,724639.0,3.109999895095825
2025-11-25,313500,328500,311000,318500,254757,1.757188498402556,22704,700,-21705,-1699,0,22283.0,5.079999923706055,706988.0,3.0299999713897705
2025-11-24,368000,368500,294500,313000,738135,-15.176151761517614,-68745,-2000,170272,-99527,0,68165.0,5.550000190734863,726996.0,3.119999885559082
2025-11-21,376000,381500,363500,369000,234987,-4.404145077720207,7970,-3832,39458,-43596,0,6004.0,1.5499999523162842,624362.0,2.680000066757202
2025-11-20,333000,392500,328500,386000,544757,15.396113602391628,6988,-2912,-160763,156687,0,8407.0,0.8700000047683716,625264.0,2.680000066757202
2025-11-19,313000,345000,298000,334500,429439,7.211538461538461,10804,-2714,-27413,19323,0,36881.0,4.679999828338623,717072.0,3.0799999237060547
2025-11-18,310000,317000,305000,312000,183815,-0.3194888178913738,19462,-4063,17310,-32709,0,16664.0,5.289999961853027,718956.0,3.0799999237060547
2025-11-17,309500,316500,302000,313000,195563,1.1308562197092082,10682,-5277,7079,-12484,0,8611.0,2.4600000381469727,714165.0,3.059999942779541
2025-11-14,303500,319000,303000,309500,345316,-0.482315112540193,-30539,-1401,44042,-12102,0,63412.0,10.710000038146973,717388.0,3.0799999237060547
2025-11-13,297000,320000,286500,311000,651067,5.782312925170068,10843,-2160,63235,-71918,0,13151.0,1.2100000381469729,685527.0,2.940000057220459
2025-11-12,274000,300000,273500,294000,591275,10.526315789473683,85465,11369,-172177,75343,0,19191.0,1.8899999856948853,665739.0,2.859999895095825
2025-11-11,269500,283000,264000,266000,218118,-4.316546762589928,-8665,-8707,50617,-33245,0,35100.0,9.18000030517578,700854.0,3.009999990463257
2025-11-10,278500,289500,275500,278000,232191,-2.797202797202797,40992,4605,-10617,-34980,0,30047.0,7.78000020980835,682533.0,2.930000066757202
2025-11-07,243000,296000,241500,286000,519601,13.492063492063492,39561,-14,-61380,21833,0,44908.0,4.619999885559082,671343.0,2.880000114440918
2025-11-06,260500,264500,252000,252000,130891,-3.816793893129771,-2803,478,5871,-3546,0,11701.0,4.769999980926514,663007.0,2.8399999141693115
2025-11-05,277000,277000,254500,262000,220003,-3.4990791896869244,3598,77,74260,-77935,0,37208.0,10.25,663870.0,2.8499999046325684
2025-11-04,257500,278000,253000,271500,356766,3.036053130929792,-1764,6089,-96075,91750,0,7037.0,1.1299999952316284,642771.0,2.759999990463257
2025-11-03,265500,269500,257000,263500,203593,-2.5878003696857674,-37683,350,34994,2339,0,25542.0,7.389999866485596,670143.0,2.869999885559082
2025-10-31,264500,278500,261000,270500,258144,2.8517110266159698,29133,6374,-26960,-8547,0,7977.0,1.7799999713897705,663850.0,2.8499999046325684
2025-10-30,259500,267000,255500,263000,121116,-0.7547169811320755,11792,4030,-33114,17292,0,13714.0,6.659999847412109,665836.0,2.859999895095825
2025-10-29,260000,267000,255500,265000,110895,1.9230769230769231,5215,304,-31860,26341,0,13995.0,7.510000228881836,663240.0,2.8399999141693115
2025-10-28,268000,271000,254000,260000,190130,-4.761904761904762,-19868,-3828,77213,-53517,0,37952.0,12.039999961853027,673506.0,2.890000104904175
2025-10-27,254000,273000,245000,273000,233286,6.019417475728155,31070,2545,-65625,32010,0,8557.0,2.0799999237060547,647267.0,2.7799999713897705
2025-10-24,260500,269500,255000,257500,106554,0.1945525291828793,4963,3015,-13574,5596,0,6724.0,3.7699999809265137,663047.0,2.8399999141693115
2025-10-23,262000,264000,255500,257000,80896,-1.9083969465648856,-16150,723,20870,-5443,0,13256.0,10.020000457763672,663977.0,2.8499999046325684
2025-10-22,268500,277500,258000,262000,151333,-3.853211009174312,-15599,291,26466,-11158,0,20250.0,8.399999618530273,652171.0,2.799999952316284
2025-10-21,274500,279500,269000,272500,109401,0.3683241252302026,19121,-922,-10695,-7504,0,15766.0,9.720000267028809,639794.0,2.740000009536743
2025-10-20,256500,276000,251500,271500,205284,7.100591715976331,15618,3494,-17457,-1655,0,19184.0,5.769999980926514,636671.0,2.7300000190734863
2025-10-17,248500,261000,247500,253500,191929,-1.1695906432748535,-24459,-130,2539,22050,0,29559.0,10.0,632731.0,2.7100000381469727
2025-10-16,266500,268500,250000,256500,259650,-3.75234521575985,-38596,-582,-14819,53997,0,24786.0,6.360000133514404,626033.0,2.680000066757202
2025-10-15,270000,273000,256500,266500,174741,-0.3738317757009346,-2993,177,9349,-6533,0,23739.0,8.729999542236328,621031.0,2.6600000858306885
2025-10-14,284000,286000,262000,267500,183764,-4.973357015985791,-27023,452,18465,8106,0,32007.0,10.279999732971191,611655.0,2.619999885559082
2025-10-13,286500,292000,281000,281500,138051,-4.414261460101868,-4165,-3327,27191,-19699,0,25690.0,11.56999969482422,594543.0,2.549999952316284
2025-10-10,301000,301000,280000,294500,177844,-1.9966722129783687,689,-5416,51926,-47199,0,15429.0,5.71999979019165,592521.0,2.539999961853028
2025-10-02,299000,307000,297500,300500,119819,0.5016722408026756,14373,-2979,-43836,32442,0,14208.0,7.349999904632568,565950.0,2.430000066757202
2025-10-01,300000,304500,294000,299000,111288,-0.3333333333333333,9067,2229,-3503,-7793,0,13936.0,7.559999942779541,582741.0,2.5
2025-09-30,289500,302000,287500,300000,155651,3.6269430051813454,-200,2720,-27026,24506,0,16681.0,6.389999866485596,566224.0,2.430000066757202
2025-09-29,277500,296000,273000,289500,162062,4.324324324324325,21297,-387,-51573,30663,0,7546.0,2.619999885559082,575499.0,2.470000028610229
2025-09-26,277500,283000,272000,277500,111238,-1.2455516014234875,6300,-3732,-5818,3250,0,11663.0,6.440000057220459,584961.0,2.509999990463257
2025-09-25,286000,291500,278500,281000,134018,-3.103448275862069,-15127,-6397,2943,18581,0,22936.0,10.470000267028809,583374.0,2.5
2025-09-24,299000,301500,269500,290000,507701,-5.844155844155844,-27661,-652,213462,-185149,0,81247.0,10.239999771118164,568445.0,2.440000057220459
2025-09-23,302500,320000,297500,308000,259364,1.3157894736842104,7867,2570,-38961,28524,0,9120.0,2.0999999046325684,500768.0,2.150000095367432
2025-09-22,289000,308500,282000,304000,283578,5.008635578583765,-6719,-358,-17165,24242,0,10840.0,2.0799999237060547,503610.0,2.1600000858306885
2025-09-19,290000,295500,287500,289500,131007,0.0,-1768,-99,15101,-13234,0,15432.0,7.429999828338623,499293.0,2.140000104904175
