일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-12,16580,16800,16160,16270,1063865,-1.7512077294685993,-110602,35184,56964,18454,0,15735.0,1.4700000286102295,911459.0,1.5199999809265137
2025-12-11,16680,16840,16480,16560,889386,-0.7194244604316548,-55884,14113,61623,-19852,0,18393.0,2.069999933242798,911459.0,1.5199999809265137
2025-12-10,16790,16830,16420,16680,968818,-0.6551518761167362,-51261,26073,126224,-101036,0,28547.0,2.950000047683716,911459.0,1.5199999809265137
2025-12-09,16660,17400,16640,16790,1781699,1.5114873035066507,4188,11949,-199035,182898,0,26648.0,1.5,910370.0,1.5199999809265137
2025-12-08,17170,17170,16400,16540,1580502,-3.781268179173938,-35873,-19020,276739,-221846,0,41000.0,2.5899999141693115,909363.0,1.5199999809265137
2025-12-05,17100,17290,16750,17190,1285651,0.7620164126611958,3421,41984,-111022,65617,0,51211.0,3.9800000190734863,910732.0,1.5199999809265137
2025-12-04,17400,17420,16850,17060,1613317,-1.1014492753623188,-5616,-31778,390700,-353306,0,59932.0,3.7100000381469727,871008.0,1.4500000476837158
2025-12-03,16550,17500,16550,17250,2995892,4.79951397326853,27928,30889,-324247,265430,0,33311.0,1.1100000143051147,846264.0,1.409999966621399
2025-12-02,16300,16670,16300,16460,1257388,0.98159509202454,-128236,-5449,-117036,250721,0,44821.0,3.559999942779541,877189.0,1.4600000381469727
2025-12-01,17250,17270,16170,16300,2175259,-4.734073641145529,-151691,34901,535771,-418981,0,66199.0,3.039999961853028,917641.0,1.5299999713897705
2025-11-28,16980,17180,16500,17110,1723520,1.60332541567696,-7382,40934,-6572,-26980,0,36022.0,2.0899999141693115,923899.0,1.5399999618530271
2025-11-27,16790,17290,16580,16840,2496651,2.682926829268293,78325,-4855,-192011,118541,0,47387.0,1.899999976158142,899479.0,1.5
2025-11-26,16140,16590,15690,16400,2138169,2.244389027431421,19285,11686,-126625,95654,0,34568.0,1.6200000047683716,833614.0,1.3899999856948853
