일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-01-15,125900,129700,124400,124900,96172,-0.4780876494023904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,126400,127400,124300,125500,118538,-0.23847376788553257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,127000,128500,124400,125800,125490,-1.4106583072100314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,131500,131500,126600,127600,145489,-3.1866464339908953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,128900,133300,127100,131800,193760,2.80811232449298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,128000,130900,126600,128200,134980,1.1838989739542225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,126000,128500,125000,126700,175709,0.23734177215189875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,122700,126900,121000,126400,221330,2.10016155088853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,114000,125000,112500,123800,329728,7.652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,118100,120400,112200,115000,269409,-3.523489932885906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,120400,121200,117800,119200,140993,-0.9966777408637874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,120700,121500,118700,120400,163333,-0.4135649296939619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,125000,125000,120600,120900,178623,-3.202562049639712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,124600,125600,123300,124900,76980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,125500,126400,123500,124900,103372,-0.4780876494023904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,130300,130600,123400,125500,191464,-1.7227877838684416,-1330.0,484.0,-31962.0,32808.0,0.0,3746.0,1.4299999475479126,10995.0,0.050000000745058
2025-12-19,128500,130000,123500,127700,262604,-0.5451713395638629,28036.0,-1790.0,-51712.0,25466.0,0.0,9745.0,3.009999990463257,9996.0,0.050000000745058
2025-12-18,126800,130100,124600,128400,185300,0.4694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,130800,130800,124800,127800,262604,-2.517162471395881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,133900,134000,129900,131100,228572,-0.757002271006813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,125700,132900,125700,132100,287755,3.7706205813040063,50979.0,-20722.0,-23042.0,-7215.0,0.0,11188.0,2.9100000858306885,37769.0,0.1800000071525573
2025-12-12,129100,131000,126600,127300,140098,-1.5467904098994587,25259.0,560.0,-16220.0,-9599.0,0.0,4397.0,2.180000066757202,44708.0,0.2199999988079071
2025-12-11,127300,130700,125000,129300,325774,3.44,64630.0,-27310.0,-5843.0,-31477.0,0.0,9723.0,2.190000057220459,44013.0,0.209999993443489
2025-12-10,126000,126400,122400,125000,191869,-1.96078431372549,-7764.0,46.0,4278.0,3440.0,0.0,10596.0,3.75,48069.0,0.2300000041723251
2025-12-09,124000,131100,121900,127500,280970,2.0,38026.0,-20151.0,-37471.0,19596.0,0.0,15982.0,3.7200000286102295,43153.0,0.209999993443489
2025-12-08,122800,129300,119400,125000,592854,5.932203389830509,58688.0,-88728.0,6950.0,23090.0,0.0,24240.0,2.740000009536743,40845.0,0.2000000029802322
2025-12-05,114600,119000,113600,118000,242003,0.0848176420695504,28442.0,834.0,-62129.0,32853.0,0.0,25904.0,7.880000114440918,37802.0,0.1800000071525573
2025-12-04,117900,119600,115900,117900,133819,-0.8410428931875525,7731.0,-531.0,-2342.0,-4858.0,0.0,6657.0,3.390000104904175,40776.0,0.2000000029802322
2025-12-03,116900,121600,115800,118900,202971,0.933786078098472,18601.0,2081.0,-25916.0,5234.0,0.0,12527.0,4.170000076293945,53771.0,0.2599999904632568
2025-12-02,116700,118500,115000,117800,174767,0.9425878320479864,29244.0,1346.0,-42049.0,11459.0,0.0,15536.0,6.489999771118164,71011.0,0.3400000035762787
2025-12-01,118400,119900,114700,116700,218262,-0.2564102564102564,35062.0,-7374.0,-58476.0,30788.0,0.0,7254.0,2.25,86909.0,0.4199999868869781
2025-11-28,110000,117100,107600,117000,631840,8.133086876155268,187141.0,-157787.0,-143719.0,114365.0,0.0,9058.0,0.9900000095367432,91187.0,0.4399999976158142
2025-11-27,104500,109600,102300,108200,313314,4.440154440154441,45354.0,1109.0,-142796.0,96333.0,0.0,12980.0,2.680000066757202,90506.0,0.4399999976158142
2025-11-26,98500,104800,98400,103600,203800,5.930470347648262,7206.0,2337.0,-106557.0,97014.0,0.0,9886.0,3.2100000381469727,88712.0,0.4300000071525574
2025-11-25,98800,100100,97400,97800,67082,-0.4073319755600814,-2152.0,-176.0,-1469.0,3797.0,0.0,9184.0,9.06999969482422,107961.0,0.5199999809265137
2025-11-24,101700,102000,97900,98200,111507,-1.6032064128256511,3090.0,630.0,13471.0,-17191.0,0.0,6299.0,3.759999990463257,110620.0,0.5299999713897705
2025-11-21,100000,100800,98700,99800,99648,-2.156862745098039,3913.0,-2620.0,-10891.0,9598.0,0.0,7074.0,4.929999828338623,112496.0,0.5400000214576721
2025-11-20,99800,102900,98900,102000,83684,3.343465045592705,-8646.0,-284.0,-16024.0,24954.0,0.0,2746.0,1.9700000286102293,117339.0,0.5699999928474426
2025-11-19,102300,102400,97800,98700,108362,-2.949852507374631,-3758.0,-2210.0,8876.0,-2908.0,0.0,3585.0,2.2799999713897705,120417.0,0.5799999833106995
2025-11-18,104000,104200,100500,101700,136013,-1.6441005802707929,-2120.0,-2360.0,-11730.0,16210.0,0.0,11380.0,5.440000057220459,122016.0,0.5899999737739563
2025-11-17,105000,105500,101900,103400,123396,-0.6724303554274735,2406.0,1205.0,-4610.0,999.0,0.0,7954.0,4.03000020980835,121791.0,0.5899999737739563
2025-11-14,100400,106400,99900,104100,329636,2.0588235294117645,18412.0,1512.0,-97378.0,77454.0,0.0,6674.0,1.2000000476837158,125232.0,0.6000000238418579
2025-11-13,101000,103600,100500,102000,187111,1.7964071856287425,-1848.0,322.0,-12878.0,14404.0,0.0,17534.0,6.070000171661377,151627.0,0.7300000190734863
2025-11-12,98800,101800,97800,100200,210271,3.2989690721649487,34011.0,1530.0,-49281.0,13740.0,0.0,11795.0,3.829999923706055,164790.0,0.800000011920929
2025-11-11,97000,98500,96000,97000,123456,0.5181347150259068,-32792.0,-47.0,-9257.0,42096.0,0.0,12177.0,7.489999771118164,178446.0,0.8600000143051147
2025-11-10,96500,96900,94900,96500,72647,0.7306889352818371,11044.0,427.0,-21474.0,10003.0,0.0,4088.0,3.7200000286102295,179949.0,0.8700000047683716
2025-11-07,98500,98600,94600,95800,124102,-3.71859296482412,-18562.0,1422.0,23840.0,-6700.0,0.0,6911.0,3.359999895095825,190932.0,0.9200000166893004
2025-11-06,101000,101200,98800,99500,127648,-0.2006018054162487,-1214.0,-164.0,-26999.0,28377.0,0.0,3046.0,1.600000023841858,192109.0,0.9300000071525574
2025-11-05,102600,102600,97000,99700,215565,-1.3847675568743818,-10661.0,222.0,-17805.0,28244.0,0.0,6857.0,1.9900000095367432,207045.0,1.0
2025-11-04,99900,102700,98900,101100,224580,0.3972194637537239,-19769.0,701.0,-8281.0,27349.0,0.0,7944.0,2.119999885559082,250436.0,1.2100000381469729
2025-11-03,100300,101700,99500,100700,205614,-0.5923000987166831,-28035.0,73.0,-19880.0,47842.0,0.0,3890.0,1.1699999570846558,293158.0,1.4199999570846558
2025-10-31,98000,102400,97700,101300,351191,4.648760330578512,39135.0,1088.0,-104400.0,64177.0,0.0,7353.0,1.3300000429153442,327732.0,1.5800000429153442
2025-10-30,101900,101900,95600,96800,266002,-3.968253968253968,12967.0,-1011.0,32114.0,-44070.0,0.0,20866.0,4.840000152587891,391020.0,1.8899999856948853
2025-10-29,96600,102000,93300,100800,818794,4.239917269906929,90267.0,-147.0,-111328.0,21208.0,0.0,49896.0,3.900000095367432,368729.0,1.7799999713897705
2025-10-28,95700,97400,94000,96700,201519,2.763018065887354,7066.0,-1014.0,-35477.0,29425.0,0.0,20735.0,6.389999866485596,341034.0,1.649999976158142
2025-10-27,90900,94200,90200,94100,179432,5.139664804469274,22709.0,1583.0,-35961.0,11669.0,0.0,8135.0,2.880000114440918,363081.0,1.75
2025-10-24,91800,91800,89300,89500,157274,-1.4317180616740088,-21572.0,2797.0,26742.0,-7967.0,0.0,19547.0,7.949999809265137,365281.0,1.7599999904632568
2025-10-23,94600,94600,90300,90800,244142,-4.621848739495799,-46022.0,1079.0,79662.0,-34719.0,0.0,13662.0,3.5999999046325684,357458.0,1.7300000190734863
2025-10-22,96300,98500,94300,95200,199634,0.3161222339304531,7127.0,-1700.0,-6530.0,1103.0,0.0,920.0,0.270000010728836,338853.0,1.6399999856948853
2025-10-21,107500,108500,93400,94900,856780,-10.21759697256386,-32364.0,-264.0,178039.0,-145411.0,0.0,79485.0,5.900000095367432,336041.0,1.6200000047683716
2025-10-20,97900,105900,97100,105700,692691,9.194214876033058,53804.0,-46208.0,-251462.0,243866.0,0.0,28553.0,2.75,217828.0,1.0499999523162842
2025-10-17,95300,98500,94500,96800,186810,1.680672268907563,17077.0,-4684.0,-37114.0,24721.0,0.0,17582.0,6.340000152587891,262889.0,1.2699999809265137
2025-10-16,96300,97800,94500,95200,166897,-0.2096436058700209,-5083.0,319.0,-28722.0,33486.0,0.0,12295.0,5.019999980926514,265529.0,1.2799999713897705
2025-10-15,93500,96000,93000,95400,145323,2.5806451612903225,-18179.0,-326.0,-13026.0,31531.0,0.0,10937.0,5.039999961853027,281757.0,1.3600000143051147
2025-10-14,94100,95400,92300,93000,117948,-1.378579003181336,-7518.0,332.0,-64.0,7250.0,0.0,16957.0,8.760000228881836,304757.0,1.4700000286102295
2025-10-13,91000,94900,90000,94300,228164,4.4296788482834994,2499.0,1090.0,1382.0,-4971.0,0.0,18683.0,5.170000076293945,309964.0,1.5
2025-10-10,88800,91300,87100,90300,114068,1.6891891891891893,-15761.0,1618.0,8593.0,5550.0,0.0,2732.0,1.5700000524520874,289148.0,1.399999976158142
2025-10-02,89400,90600,88500,88800,94827,0.3389830508474576,-16909.0,436.0,-2476.0,18949.0,0.0,6014.0,5.0,290379.0,1.399999976158142
2025-10-01,90000,90000,88000,88500,60797,-1.11731843575419,-25912.0,-578.0,22483.0,4007.0,0.0,3406.0,3.4800000190734863,307807.0,1.4900000095367432
2025-09-30,89600,89900,88800,89500,40450,-0.1116071428571428,-6774.0,164.0,-1533.0,8143.0,0.0,2119.0,3.539999961853028,311662.0,1.5099999904632568
2025-09-29,89500,90000,88000,89600,47518,0.7874015748031495,-3449.0,-974.0,-3478.0,7901.0,0.0,2224.0,2.859999895095825,316023.0,1.5299999713897705
2025-09-26,89800,89800,88000,88900,123440,-2.307692307692308,-9955.0,939.0,31595.0,-22579.0,0.0,8409.0,4.559999942779541,323801.0,1.559999942779541
2025-09-25,92300,92900,90800,91000,73219,-1.4084507042253522,-5275.0,-155.0,12875.0,-7445.0,0.0,2565.0,2.289999961853028,297155.0,1.4700000286102295
2025-09-24,93500,93800,90900,92300,105956,-1.0718113612004287,-15016.0,312.0,24518.0,-9814.0,0.0,4638.0,3.140000104904175,295592.0,1.4600000381469729
2025-09-23,94800,95900,92500,93300,91318,-1.5822784810126582,-9870.0,-408.0,6586.0,3692.0,0.0,2703.0,1.950000047683716,295687.0,1.4600000381469729
2025-09-22,94300,95000,93100,94800,116085,0.851063829787234,15750.0,-66.0,1944.0,-17628.0,0.0,12066.0,6.900000095367432,303954.0,1.5099999904632568
2025-09-19,91000,94100,90600,94000,170857,2.844638949671773,31879.0,108.0,-37262.0,5275.0,0.0,8875.0,3.660000085830689,310177.0,1.5399999618530271
2025-09-18,92400,92600,90400,91400,111601,-0.2183406113537117,-13574.0,2087.0,31448.0,-19961.0,0.0,4580.0,2.6600000858306885,315955.0,1.5700000524520874
2025-09-17,93500,93600,91300,91600,103098,-2.24119530416222,-10707.0,-3837.0,23541.0,-8997.0,0.0,10947.0,7.269999980926514,333188.0,1.649999976158142
2025-09-16,94800,95300,92900,93700,121467,-1.6789087093389297,-24499.0,760.0,23774.0,-35.0,0.0,3840.0,2.0999999046325684,329793.0,1.6399999856948853
2025-09-15,96000,96300,94200,95300,119701,0.1050420168067226,-11847.0,87.0,30134.0,-18374.0,0.0,6188.0,3.400000095367432,326422.0,1.6200000047683716
2025-09-12,93000,96400,92600,95200,233504,4.157549234135667,43915.0,1976.0,-71067.0,25176.0,0.0,7382.0,2.0199999809265137,321904.0,1.600000023841858
2025-09-11,93800,94300,90900,91400,218670,-2.454642475987193,-34614.0,1487.0,34994.0,-1867.0,0.0,14759.0,4.590000152587891,323033.0,1.600000023841858
2025-09-10,93700,96600,93000,93700,206006,1.187904967602592,-7454.0,-2008.0,39484.0,-30022.0,0.0,15038.0,4.809999942779541,318627.0,1.5800000429153442
2025-09-09,94700,95600,92600,92600,365326,-5.798575788402848,-86850.0,6154.0,118461.0,-37765.0,0.0,25683.0,4.980000019073486,288671.0,1.4299999475479126
2025-09-08,100200,100500,98000,98300,123038,0.3061224489795918,7320.0,195.0,26457.0,-33972.0,0.0,8243.0,4.590000152587891,263792.0,1.309999942779541
2025-09-05,100200,100300,97500,98000,162435,-1.8036072144288573,-2955.0,612.0,26690.0,-24347.0,0.0,10283.0,4.369999885559082,252017.0,1.25
2025-09-04,99500,100100,98200,99800,159991,1.1144883485309016,11772.0,-3671.0,22664.0,-30765.0,0.0,11260.0,4.630000114440918,229746.0,1.1399999856948853
2025-09-03,100000,102200,97500,98700,354454,3.1347962382445136,48591.0,1006.0,-57282.0,7685.0,0.0,19981.0,3.819999933242798,220860.0,1.100000023841858
2025-09-02,93100,96700,92300,95700,246485,3.125,31414.0,-46322.0,-14042.0,28950.0,0.0,12740.0,3.619999885559082,219352.0,1.090000033378601
2025-09-01,92500,93200,91100,92800,87394,0.2159827213822894,-4765.0,-1001.0,18.0,5748.0,0.0,5238.0,4.53000020980835,214893.0,1.0700000524520874
2025-08-29,93600,94700,92300,92600,71589,-0.9625668449197862,-636.0,1651.0,-405.0,-610.0,0.0,6394.0,7.070000171661377,215306.0,1.0700000524520874
2025-08-28,94500,95000,93100,93500,68018,-1.162790697674419,-3768.0,-3183.0,4224.0,2727.0,0.0,3057.0,2.930000066757202,219287.0,1.090000033378601
2025-08-27,94300,95100,93500,94600,83701,0.3181336161187699,12694.0,-4814.0,1376.0,-9256.0,0.0,11321.0,9.260000228881836,216855.0,1.0800000429153442
2025-08-26,92200,95000,91700,94300,157582,1.7259978425026967,2963.0,-23298.0,6202.0,14133.0,0.0,14396.0,6.460000038146973,210610.0,1.0499999523162842
2025-08-25,93900,94000,92400,92700,131062,0.7608695652173914,16800.0,-55881.0,3308.0,35773.0,0.0,6704.0,3.799999952316284,217092.0,1.0800000429153442
2025-08-22,90500,95400,90200,92000,207218,4.308390022675737,14117.0,1745.0,-29644.0,13782.0,0.0,11422.0,3.7100000381469727,233850.0,1.159999966621399
2025-08-21,88700,89800,87600,88200,75093,-1.342281879194631,-9859.0,796.0,12376.0,-3313.0,0.0,7186.0,7.429999828338623,240096.0,1.190000057220459
2025-08-20,88300,89700,86700,89400,81863,0.0,12607.0,-1088.0,-7669.0,-3850.0,0.0,8450.0,8.020000457763672,243233.0,1.2100000381469729
2025-08-19,92000,92100,89000,89400,84240,-2.4017467248908297,-2164.0,-264.0,-13204.0,15632.0,0.0,5865.0,5.010000228881836,231928.0,1.149999976158142
2025-08-18,92600,94400,91500,91600,72660,-1.293103448275862,6940.0,-21.0,-3744.0,-3175.0,0.0,7709.0,7.650000095367432,241233.0,1.2000000476837158
2025-08-14,93500,94200,92150,92800,88664,-0.96051227321238,6202.0,1731.0,468.0,-8401.0,0.0,18827.0,15.93000030517578,243852.0,1.2100000381469729
2025-08-13,91800,94000,91400,93700,142616,3.535911602209945,31879.0,1274.0,-25548.0,-7605.0,0.0,12768.0,6.340000152587891,234983.0,1.1699999570846558
2025-08-12,91600,93300,90300,90500,83289,-1.4161220043572984,19613.0,-599.0,-16686.0,-2328.0,0.0,7543.0,6.760000228881836,225065.0,1.1200000047683716
2025-08-11,90400,92200,89000,91800,114103,2.799552071668533,25097.0,3333.0,-29880.0,1450.0,0.0,7823.0,5.269999980926514,222129.0,1.100000023841858
2025-08-08,91000,91400,88800,89300,68976,-0.7777777777777778,-1919.0,-653.0,9269.0,-6697.0,0.0,7973.0,8.34000015258789,210505.0,1.0399999618530271
2025-08-07,90500,91200,89400,90000,60585,-0.99009900990099,779.0,-725.0,-2318.0,2264.0,0.0,2586.0,3.069999933242798,201712.0,1.0
2025-08-06,90000,92000,89500,90900,83934,-0.1098901098901098,2493.0,1524.0,7584.0,-11601.0,0.0,7396.0,6.309999942779541,204285.0,1.0099999904632568
2025-08-05,88500,92500,87300,91000,232797,4.357798165137615,46136.0,8879.0,-25864.0,-29151.0,0.0,17353.0,5.309999942779541,190494.0,0.949999988079071
2025-08-04,84200,87400,82900,87200,142685,5.441354292623942,34871.0,1209.0,-34370.0,-1710.0,0.0,20189.0,10.920000076293944,167916.0,0.8299999833106995
2025-08-01,85500,86300,82400,82700,211809,-5.05166475315729,-42717.0,-2242.0,24841.0,20118.0,0.0,7451.0,2.720000028610229,161806.0,0.800000011920929
2025-07-31,87500,88900,85900,87100,160373,1.1614401858304295,10989.0,-225.0,4523.0,-15287.0,0.0,15090.0,7.21999979019165,171430.0,0.8500000238418579
2025-07-30,87000,87200,84900,86100,140704,-1.6,-26122.0,-583.0,-977.0,27682.0,0.0,6642.0,3.619999885559082,169917.0,0.8399999737739563
2025-07-29,88500,89100,86000,87500,152945,-1.905829596412556,-38000.0,-984.0,-18673.0,57657.0,0.0,5001.0,2.400000095367432,188128.0,0.9300000071525574
2025-07-28,88200,90500,87800,89200,187503,-0.4464285714285714,-32338.0,-450.0,-22482.0,55270.0,0.0,4015.0,1.6399999856948853,230550.0,1.1399999856948853
2025-07-25,92600,93500,88400,89600,280734,-3.344120819848975,-41939.0,1624.0,-5112.0,45427.0,0.0,7734.0,1.950000047683716,278789.0,1.3799999952316284
2025-07-24,97000,102600,92000,92700,1139006,-2.2151898734177213,64290.0,-86941.0,45985.0,-23334.0,0.0,18468.0,1.1200000047683716,331715.0,1.649999976158142
2025-07-23,95000,96500,93800,94800,184635,0.5302226935312832,48100.0,-23067.0,8144.0,-33177.0,0.0,10400.0,4.050000190734863,243507.0,1.2100000381469729
2025-07-22,93200,97000,91200,94300,274849,1.1802575107296138,8761.0,-16684.0,38322.0,-30399.0,0.0,12399.0,3.3399999141693115,227028.0,1.1299999952316284
2025-07-21,93900,94300,91000,93200,191052,-0.7454739084132056,25213.0,7008.0,25459.0,-57680.0,0.0,14633.0,6.050000190734863,202881.0,1.0099999904632568
2025-07-18,91600,95300,89600,93900,444586,5.62429696287964,136557.0,2504.0,-69446.0,-69615.0,0.0,14866.0,2.4100000858306885,187994.0,0.9300000071525574
2025-07-17,88100,89800,87100,88900,170513,1.1376564277588168,27128.0,-1939.0,13176.0,-38365.0,0.0,9553.0,3.990000009536743,179941.0,0.8899999856948853
2025-07-16,85200,89300,84000,87900,138861,2.328288707799768,14915.0,2465.0,-8461.0,-8919.0,0.0,3147.0,1.5499999523162842,178313.0,0.8799999952316284
2025-07-15,84100,86300,84100,85900,85294,1.7772511848341233,-5232.0,6747.0,14878.0,-16393.0,0.0,5903.0,4.940000057220459,170376.0,0.8500000238418579
2025-07-14,84200,85500,81900,84400,100666,1.3205282112845138,8986.0,5241.0,-9705.0,-4522.0,0.0,1753.0,1.2200000286102295,166890.0,0.8299999833106995
2025-07-11,86500,86700,83200,83300,102589,-2.686915887850468,-18132.0,1212.0,24941.0,-8021.0,0.0,3956.0,2.950000047683716,161395.0,0.800000011920929
2025-07-10,84500,87000,82500,85600,185674,3.757575757575757,-1565.0,1594.0,2418.0,-2447.0,0.0,8125.0,3.2799999713897705,160680.0,0.800000011920929
2025-07-09,84300,84300,82300,82500,67859,-1.4336917562724014,-7215.0,-86.0,-3685.0,10986.0,0.0,5581.0,5.849999904632568,158408.0,0.7900000214576721
2025-07-08,83800,84700,82300,83700,90254,-0.3571428571428571,-31819.0,-176.0,14497.0,17498.0,0.0,4792.0,4.059999942779541,154753.0,0.7699999809265137
2025-07-07,83500,85200,83100,84000,65961,-0.9433962264150944,-781.0,51.0,7907.0,-7177.0,0.0,5465.0,6.199999809265137,157001.0,0.7799999713897705
2025-07-04,88000,89000,84400,84800,148735,-3.636363636363636,9943.0,1133.0,-38405.0,27329.0,0.0,3822.0,1.909999966621399,151531.0,0.75
2025-07-03,86700,88900,85800,88000,181271,2.088167053364269,59066.0,1223.0,-31643.0,-28646.0,0.0,7450.0,3.0299999713897705,148359.0,0.7400000095367432
2025-07-02,85300,89300,84700,86200,327023,2.132701421800948,66511.0,-2355.0,-52232.0,-11924.0,0.0,10506.0,2.2699999809265137,136325.0,0.6800000071525574
2025-07-01,77600,84500,77600,84400,276330,9.61038961038961,58777.0,1527.0,-165060.0,104756.0,0.0,2072.0,0.5400000214576721,116995.0,0.5799999833106995
2025-06-30,77100,77700,76100,77000,50798,0.6535947712418301,8223.0,-176.0,-1339.0,-6708.0,0.0,8156.0,12.239999771118164,136566.0,0.6800000071525574
