일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-08,118000,122100,113500,115500,194523,-2.449324324324324,-25349,2324,-16560,39585,0,464.0,0.23999999463558197,4000.0,0.029999999329447746
2025-12-05,122400,124500,114300,118400,249622,-3.109656301145663,21401,-2681,-34314,15594,0,1741.0,0.699999988079071,4000.0,0.029999999329447746
2025-12-04,121000,124800,119700,122200,191379,-0.9724473257698543,-19920,1174,-10549,29295,0,50.0,0.029999999329447746,4000.0,0.029999999329447746
2025-12-03,128000,129700,117100,123400,357148,-4.266873545384018,-4879,-2780,34068,-26409,0,438.0,0.11999999731779099,4000.0,0.029999999329447746
2025-12-02,135000,135000,125500,128900,235264,-3.805970149253731,-23087,-2395,-4196,29678,0,10072.0,4.28000020980835,4000.0,0.029999999329447746
2025-12-01,137400,138800,131100,134000,171676,-0.7407407407407408,-2141,-5691,16207,-8375,0,568.0,0.33000001311302185,4000.0,0.029999999329447746
2025-11-28,134100,137000,131300,135000,190069,0.6711409395973155,26034,-768,-5792,-19474,0,309.0,0.1599999964237213,6272.0,0.05000000074505806
2025-11-27,130300,135000,128600,134100,190230,3.1538461538461537,14728,-10874,-9823,5969,0,222.0,0.11999999731779099,7643.0,0.05999999865889549
2025-11-26,126500,131900,119000,130000,216513,5.092966855295069,7031,-2460,-23971,19400,0,1991.0,0.9200000166893005,7540.0,0.05999999865889549
2025-11-25,128700,132000,122300,123700,174217,-1.8253968253968256,-17496,3048,-6987,21435,0,1395.0,0.800000011920929,8787.0,0.07000000029802322
2025-11-24,132000,133700,124600,126000,124488,-3.076923076923077,-4344,0,-3142,7486,0,668.0,0.5400000214576721,8543.0,0.07000000029802322
2025-11-21,131500,135400,127800,130000,193128,-2.9850746268656714,13011,-384,7117,-19744,0,1527.0,0.7900000214576721,8608.0,0.07000000029802322
2025-11-20,124600,134400,124600,134000,186877,7.54414125200642,6550,-11364,-16768,21582,0,100.0,0.05000000074505806,8602.0,0.07000000029802322
2025-11-19,132500,132500,122100,124600,263712,-7.635285396590066,-4056,-996,39720,-34668,0,10000.0,3.7899999618530273,8649.0,0.07000000029802322
2025-11-18,131200,136700,129300,134900,336806,3.2134659525631215,11497,-45636,11596,22543,0,4556.0,1.350000023841858,8617.0,0.07000000029802322
2025-11-17,129800,139600,118000,130700,643812,0.5384615384615384,9811,-769,-18102,9060,0,6393.0,0.9900000095367432,8495.0,0.07000000029802322
2025-11-14,103600,130000,103600,130000,1179759,30.0,23086,-35471,-174925,187310,0,5206.0,0.4399999976158142,6806.0,0.05000000074505806
2025-11-13,98900,101900,96900,100000,207793,1.9367991845056065,-9123,-4694,23299,-9482,0,7439.0,3.5799999237060547,18411.0,0.15000000596046448
2025-11-12,92500,99400,92000,98100,242722,6.746463547334058,20055,-9300,-16289,5534,0,3303.0,1.3600000143051147,17468.0,0.14000000059604645
2025-11-11,90300,93900,89000,91900,136195,1.7718715393133997,-1902,-7138,8554,486,0,3493.0,2.559999942779541,17073.0,0.12999999523162842
2025-11-10,91500,92700,88500,90300,102305,-0.11061946902654868,3720,-2751,33271,-34240,0,1805.0,1.7599999904632568,16280.0,0.12999999523162842
2025-11-07,85700,92100,83700,90400,208094,4.147465437788019,27201,2715,3264,-33180,0,8173.0,3.930000066757202,16024.0,0.12999999523162842
2025-11-06,85000,89000,84500,86800,158408,3.579952267303103,4032,-3540,3357,-3849,0,4065.0,2.569999933242798,14905.0,0.11999999731779099
2025-11-05,82100,85500,79400,83800,122172,2.0706455542021924,1196,438,-5935,4301,0,2215.0,1.809999942779541,15037.0,0.11999999731779099
2025-11-04,82400,83900,79600,82100,76921,1.4833127317676145,5068,-236,4575,-9407,0,2234.0,2.9000000953674316,15170.0,0.11999999731779099
2025-11-03,79300,81500,76800,80900,150645,1.125,15315,609,11270,-27194,0,5108.0,3.390000104904175,14557.0,0.10999999940395355
